tipo,fecha,id_tuit,id_conversacion,cuenta_origen,texto,referencia_anuncio,likes,rts
MENCION_DIRECTA,2026-03-09 21:40:44+00:00,2031123041216766446,2031120976302236034,basubte,@VecinosCon5633 @BastadeDemoler @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor Video de archivo,,0,0
MENCION_DIRECTA,2026-03-09 21:37:42+00:00,2031122281246626148,2031122281246626148,basubte,"Subte Estación Pueyrredón. Fotos de la inundación.  Parece una escena surrealista, casi veneciana.Solo que en vez de góndolas… hay vías inundadas. Por ahora... #CABAtierradenadie @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/OYtP9IoBoS",,5,1
MENCION_DIRECTA,2026-03-09 21:35:45+00:00,2031121789162557595,2031121789162557595,basubte,Subte E. Estación Emilio Mitre.Las fotos del antes y el después hablan solas. Contra eso no hay explicación que alcance. @jorgemacri @gcba @b@Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/UXcTKOxOrM,,5,1
MENCION_DIRECTA,2026-03-09 21:32:31+00:00,2031120976302236034,2031120976302236034,basubte,Subte D. Estación Pueyrredón. Olor a cloaca. Filtraciones. Y ahora se inundó. Parece que en la ciudad primero ocurre el desastre y después llega el diagnóstico. @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/XnKwkUVxEg,,10,2
MENCION_DIRECTA,2026-03-09 21:32:17+00:00,2031120915279340016,2028405482424062162,basubte,"@patoniatoo @danyelk97 @basubte Ah bueno, lo dice Rico McPato. Troll fantasma fracasado.",,0,0
MENCION_DIRECTA,2026-03-09 21:15:15+00:00,2031116629434646749,2031116629434646749,basubte,@Emova_arg #lineab hoy ahora y como siempre con demoras... @AguanteCerebro @pberecia @basubte que servicio mas deficiente!,,0,0
MENCION_DIRECTA,2026-03-09 21:09:33+00:00,2031115197209796745,2031115197209796745,basubte,"Subtes y baños públicos. Para un empleado, baño clausurado, sin llave y sin explicación. Llega otra empleada y lo abre en 10 segundos. En el subte hay puertas… y versiones. @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/kW4P3XH2JE",,7,2
MENCION_DIRECTA,2026-03-09 21:05:59+00:00,2031114296202014961,2031114296202014961,basubte,"Subtes y baños públicos. Ahora parece que hacen pasar a los baños como oficinas,  Perfecto: escritorio en el lavatorio, archivo en el botiquín… y la silla del jefe ya viene instalada. @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/72psOYVyd4",,0,1
MENCION_DIRECTA,2026-03-09 20:59:20+00:00,2031112622972547466,2031078890181972455,basubte,"@AguanteCerebro @pberecia Es el pero momento del funcionamiento de @basubte. El servicio es malo, todo lo que nombras es asi, no hay nada para destacar. Demoras, sucio, sin ventilacion, servicio deficiente. Solo lavado de cara de un par de estaciones centricas. @jorgemacri hacete cargo",,1,0
MENCION_DIRECTA,2026-03-09 20:48:52+00:00,2031109991810121793,2031109991810121793,basubte,@jorgemacri @Emova_arg qué pasó en la estación #Pueyrredón de la #LíneaD? La están por renombrar #Venecia ?  @basubte https://t.co/hcrbSfk4el,,0,0
MENCION_DIRECTA,2026-03-09 20:46:21+00:00,2031109355056030068,2031109355056030068,basubte,Linea B con demoras @basubte @Emova_arg @radiomitre,,0,0
MENCION_DIRECTA,2026-03-09 19:57:06+00:00,2031096962280243268,2026976721275088975,basubte,"@VecinosCon5633 @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor El servicio es una basura, no pagar es lo que corresponde.",,0,0
MENCION_DIRECTA,2026-03-09 19:46:56+00:00,2031094404841181672,2031055011812086194,basubte,"@MDSuarez Es increible.como se esmeran por hacer cada vez las cosas mas basura, en seis meses hicieron esa bosta. @Emova_arg @basubte",,2,0
MENCION_DIRECTA,2026-03-09 18:59:29+00:00,2031082461514375626,1999635315368296775,basubte,@VecinosCon5633 @Emova_arg @basubte @AySA_Oficial @jorgemacri @gcba Ahora https://t.co/COkSf0XUDJ,,2,1
